TransactionID,CustomerID,ProductID,Category,Quantity,Price,TransactionDate
T000001,C3025,P00447,Sports,3,421.0,2024-04-22 10:24:22
T000002,C1947,P00707,Groceries,5,274.89,2024-05-03 14:42:23
T000003,C2163,P00561,Groceries,1,496.08,2024-06-14 22:07:18
T000004,C4859,P00168,Electronics,2,56.75,2024-02-22 02:06:49
T000005,C3592,P00806,Groceries,4,205.17,2024-01-01 14:50:28
T000006,C0243,P00027,Home Appliances,4,77.45,2024-11-24 07:14:07
T000007,C3656,P00292,Home Appliances,2,206.41,2024-05-12 21:22:48
T000008,C3094,P00017,Books,2,206.03,2024-07-22 16:32:37
T000009,C2921,P00970,Books,1,28.88,2024-04-26 17:17:26
T000010,C1007,P00417,Home Appliances,3,286.41,2024-12-11 10:00:11
T000011,C0160,P00837,Home Appliances,2,372.85,2024-11-21 17:57:52
T000012,C0956,P00858,Electronics,2,135.99,2024-09-03 14:03:37
T000013,C4398,P00119,Fashion,3,154.08,2024-06-01 16:44:38
T000014,C1122,P00365,Sports,5,196.61,2024-10-28 08:22:09
T000015,C4234,P00813,Home Appliances,3,121.49,2024-10-04 18:04:27
T000016,C2344,P00326,Books,1,416.48,2024-01-05 08:32:31
T000017,C3047,P00556,Sports,2,81.62,2024-05-01 21:19:04
T000018,C2023,P00035,Fashion,2,488.23,2024-05-04 08:32:50
T000019,C2247,P00573,Home Appliances,4,176.98,2024-02-10 16:45:18
T000020,C3193,P00595,Sports,1,166.41,2024-01-13 11:54:10
T000021,C3719,P00187,Electronics,3,429.01,2024-03-24 22:02:38
T000022,C2789,P00635,Sports,1,417.38,2024-10-05 06:20:24
T000023,C0593,P00852,Fashion,3,222.74,2024-10-20 14:00:00
T000024,C2325,P00982,Groceries,2,413.78,2024-06-08 21:42:25
T000025,C2300,P00245,Home Appliances,1,338.4,2024-02-07 10:11:27
T000026,C1106,P00772,Sports,1,352.12,2024-06-20 15:35:15
T000027,C1584,P00134,Fashion,5,345.76,2024-03-06 04:16:41
T000028,C2326,P00767,Electronics,1,150.48,2024-10-05 10:56:03
T000029,C4921,P00243,Sports,3,139.56,2024-11-13 20:03:54
T000030,C0576,P00440,Home Appliances,3,166.33,2024-09-29 01:31:52
T000031,C2118,P00711,Groceries,3,118.73,2024-06-18 04:53:24
T000032,C3416,P00932,Home Appliances,4,304.76,2024-10-25 23:35:50
T000033,C0370,P00183,Fashion,4,111.68,2024-01-25 00:02:18
T000034,C3963,P00059,Electronics,2,268.2,2024-08-25 09:43:54
T000035,C2636,P00947,Books,4,28.6,2024-09-19 10:00:04
T000036,C4784,P00866,Sports,4,388.29,2024-05-12 10:56:41
T000037,C3401,P00704,Fashion,3,142.44,2024-08-05 12:08:52
T000038,C3791,P00785,Books,4,451.5,2024-01-04 19:23:22
T000039,C0372,P00893,Sports,4,14.9,2024-03-04 17:39:40
T000040,C0053,P00892,Sports,3,220.18,2024-08-16 21:53:09
T000041,C2276,P00231,Fashion,5,283.1,2024-08-28 23:51:26
T000042,C4920,P00520,Electronics,2,258.07,2024-07-15 23:13:35
T000043,C3613,P00692,Groceries,4,475.81,2024-12-21 07:55:47
T000044,C2495,P00885,Groceries,4,439.78,2024-03-23 19:01:08
T000045,C4058,P00510,Home Appliances,1,205.02,2024-03-23 13:40:40
T000046,C3664,P00436,Home Appliances,1,219.59,2024-01-28 12:56:26
T000047,C2337,P00721,Electronics,5,190.97,2024-08-10 19:05:06
T000048,C1781,P00387,Fashion,3,374.81,2024-01-03 06:40:05
T000049,C0333,P00112,Books,1,495.55,2024-03-05 09:57:34
T000050,C2123,P00013,Home Appliances,3,145.54,2024-07-11 16:06:20
T000051,C0635,P00940,Books,3,426.37,2024-06-28 11:24:46
T000052,C1820,P00499,Books,4,471.36,2024-01-26 08:09:19
T000053,C0621,P00212,Electronics,5,364.88,2024-05-12 11:53:48
T000054,C0780,P00312,Books,1,480.95,2024-07-02 09:51:33
T000055,C2254,P00843,Electronics,2,32.79,2024-04-23 01:22:09
T000056,C3266,P00976,Books,4,40.97,2024-01-05 01:11:05
T000057,C1982,P00681,Electronics,3,342.75,2024-10-19 08:53:36
T000058,C2961,P00895,Fashion,2,386.87,2024-12-18 06:06:28
T000059,C1830,P00893,Sports,1,239.19,2024-05-28 03:27:32
T000060,C4777,P00476,Fashion,2,225.91,2024-02-27 16:34:05
T000061,C2467,P01000,Groceries,2,393.48,2024-11-06 01:20:01
T000062,C1214,P00148,Books,4,11.26,2024-05-11 21:29:39
T000063,C3970,P00102,Groceries,5,428.44,2024-07-20 01:25:06
T000064,C0754,P00975,Home Appliances,2,86.97,2024-09-11 07:53:25
T000065,C2416,P00591,Sports,1,31.96,2024-02-15 20:16:34
T000066,C2105,P00874,Home Appliances,2,464.82,2024-01-31 07:51:46
T000067,C2072,P00263,Books,2,42.74,2024-01-16 10:44:34
T000068,C1695,P00967,Books,3,402.01,2024-02-29 00:00:13
T000069,C3835,P00574,Fashion,5,204.3,2024-09-28 00:28:32
T000070,C0203,P00832,Books,1,193.32,2024-06-29 16:49:34
T000071,C1911,P00663,Electronics,4,77.56,2024-11-29 14:50:57
T000072,C4119,P00689,Electronics,5,321.04,2024-07-24 22:45:01
T000073,C2767,P00158,Home Appliances,4,285.39,2024-11-13 14:24:52
T000074,C4871,P00502,Fashion,1,436.44,2024-12-01 02:40:45
T000075,C1823,P00452,Home Appliances,1,396.25,2024-01-04 08:24:53
T000076,C2259,P00028,Sports,4,493.85,2024-06-26 13:59:52
T000077,C2990,P00691,Electronics,2,179.24,2024-04-28 13:12:12
T000078,C4079,P00965,Fashion,2,63.6,2024-02-17 13:19:14
T000079,C1824,P00788,Electronics,4,451.95,2024-07-26 19:13:51
T000080,C1828,P00124,Fashion,3,433.7,2024-01-01 18:48:47
T000081,C1201,P00522,Electronics,4,464.48,2024-11-07 05:09:13
T000082,C3398,P00034,Electronics,2,174.74,2024-10-25 21:42:24
T000083,C1933,P00695,Fashion,2,166.41,2024-09-12 14:24:15
T000084,C2365,P00930,Fashion,3,39.15,2024-05-21 07:55:04
T000085,C0121,P00911,Home Appliances,2,341.09,2024-07-09 08:27:22
T000086,C3348,P00891,Fashion,4,10.37,2024-08-16 22:11:16
T000087,C2008,P00462,Home Appliances,3,496.45,2024-05-17 07:18:53
T000088,C2773,P00424,Home Appliances,1,255.4,2024-09-14 10:52:06
T000089,C0823,P00037,Sports,1,47.26,2024-12-08 04:19:00
T000090,C2981,P00379,Electronics,3,372.16,2024-08-01 01:38:06
T000091,C3322,P00313,Fashion,3,212.59,2024-09-30 11:26:54
T000092,C2503,P00299,Groceries,2,41.51,2024-05-09 08:21:49
T000093,C2258,P00506,Groceries,4,226.01,2024-10-25 12:14:06
T000094,C3723,P00254,Fashion,1,451.95,2024-04-03 04:52:47
T000095,C0264,P00544,Sports,3,242.28,2024-05-27 14:43:59
T000096,C1767,P00246,Sports,4,417.36,2024-07-17 07:18:07
T000097,C0858,P00280,Fashion,3,60.01,2024-11-22 05:34:23
T000098,C3509,P00579,Groceries,5,46.33,2024-10-01 09:43:35
T000099,C4414,P00745,Books,2,54.92,2024-05-27 21:48:07
T000100,C2002,P00747,Electronics,1,352.86,2024-11-22 08:09:19
T000101,C2142,P00077,Groceries,3,354.85,2024-01-05 19:12:39
T000102,C3112,P00883,Fashion,3,409.46,2024-12-12 05:23:27
T000103,C0003,P00766,Electronics,3,75.97,2024-01-13 23:57:11
T000104,C2892,P00795,Groceries,1,438.55,2024-05-11 08:44:44
T000105,C1805,P00587,Fashion,2,365.4,2024-05-09 03:22:47
T000106,C0138,P00144,Groceries,3,311.24,2024-07-13 20:14:16
T000107,C0130,P00544,Sports,1,143.65,2024-05-29 09:37:53
T000108,C0455,P00036,Sports,1,298.39,2024-01-27 09:23:11
T000109,C4717,P00113,Fashion,4,145.75,2024-08-27 19:56:06
T000110,C1972,P00411,Electronics,1,307.81,2024-08-13 01:54:40
