CustomerID,TotalSpent,TotalTransactions,LastTransactionDate
C3656,3128.3,4,2024-10-06T02:06:27.000Z
C3970,3828.7400000000002,5,2024-11-24T05:49:35.000Z
C1875,3303.34,2,2024-09-12T05:35:40.000Z
C2983,4403.5,9,2024-10-30T07:21:02.000Z
C0059,1037.19,2,2024-05-14T13:02:21.000Z
C2430,2028.51,3,2024-09-30T23:19:58.000Z
C4863,386.69,1,2024-10-18T17:48:26.000Z
C1602,3039.0600000000004,3,2024-06-29T05:06:22.000Z
C1804,594.3,3,2024-08-02T01:40:58.000Z
C4932,2716.2599999999998,4,2024-08-15T19:54:58.000Z
C4202,609.06,2,2024-07-04T06:56:18.000Z
C2320,3114.48,3,2024-08-13T15:56:19.000Z
C2843,1792.7500000000002,2,2024-05-02T06:25:22.000Z
C1571,2254.7,1,2024-09-08T11:08:02.000Z
C1100,2088.41,2,2024-07-13T04:52:31.000Z
C2367,413.55,1,2024-04-21T15:59:39.000Z
C4276,1409.83,3,2024-11-25T18:41:59.000Z
C2100,1883.47,2,2024-11-06T16:24:32.000Z
C4980,3744.06,3,2024-10-27T23:26:29.000Z
C0668,414.54999999999995,1,2024-05-22T03:02:50.000Z
C0937,6174.719999999999,8,2024-09-07T04:05:20.000Z
C3029,2023.14,4,2024-10-22T06:53:38.000Z
C1829,2153.18,3,2024-03-08T02:46:16.000Z
C0390,2550.0,2,2024-01-26T23:28:29.000Z
C4632,1551.4900000000002,2,2024-11-24T21:05:24.000Z
C2490,3290.2700000000004,4,2024-11-06T03:10:10.000Z
C4112,1023.8,2,2024-11-02T19:20:41.000Z
C0599,715.78,2,2024-10-17T18:18:05.000Z
C1774,1277.8899999999999,2,2024-09-06T13:41:45.000Z
C0947,1888.6399999999999,3,2024-08-06T17:54:48.000Z
C2846,2235.76,2,2024-08-03T06:09:34.000Z
C3397,1940.02,3,2024-11-02T22:23:40.000Z
C1628,1517.28,2,2024-07-29T04:05:25.000Z
C3981,4071.94,3,2024-12-06T19:05:46.000Z
C0960,555.86,2,2024-08-09T08:58:11.000Z
C3178,8009.500000000001,6,2024-12-11T10:44:58.000Z
C2243,2276.7,1,2024-09-08T00:33:48.000Z
C3424,617.19,2,2024-09-02T19:41:28.000Z
C4141,2006.4499999999998,2,2024-07-18T19:11:10.000Z
C3620,111.61,1,2024-11-01T14:05:35.000Z
C0114,130.17000000000002,1,2024-02-17T23:20:09.000Z
C3280,118.35000000000001,1,2024-10-27T11:21:23.000Z
C3109,1349.4,1,2024-09-02T23:38:31.000Z
C4330,3524.29,4,2024-04-17T16:22:53.000Z
C0446,5902.01,6,2024-12-02T10:43:24.000Z
C2570,1346.1999999999998,3,2024-12-10T05:15:26.000Z
C1194,4039.37,3,2024-10-23T19:07:50.000Z
C2779,4325.36,5,2024-12-19T19:14:09.000Z
C2954,1556.37,2,2024-10-08T23:59:12.000Z
C0141,1531.49,3,2024-10-26T01:54:30.000Z
C0827,1254.24,2,2024-09-14T17:26:28.000Z
C1917,460.68,1,2024-01-08T13:04:52.000Z
C1482,1864.56,2,2024-05-12T00:52:01.000Z
C1709,2419.34,3,2024-10-23T19:06:14.000Z
C0694,2840.78,4,2024-10-29T19:52:18.000Z
C2899,525.03,2,2024-10-05T14:28:05.000Z
C0971,980.84,1,2024-06-15T16:53:57.000Z
C0702,622.48,2,2024-11-28T06:15:32.000Z
C2744,909.38,2,2024-12-01T13:26:58.000Z
C4362,2837.96,4,2024-08-18T18:46:29.000Z
C0715,1158.06,2,2024-06-28T16:54:19.000Z
C1189,304.88,1,2024-11-08T01:38:03.000Z
C2539,61.2,1,2024-11-13T09:17:23.000Z
C4973,2532.7499999999995,2,2024-01-04T14:30:48.000Z
C1130,1853.83,3,2024-10-27T21:53:21.000Z
C0686,147.01999999999998,2,2024-11-09T20:59:13.000Z
C3929,3053.29,3,2024-06-04T18:14:00.000Z
C3829,1752.48,1,2024-05-26T19:13:14.000Z
C3124,772.8000000000001,1,2024-03-02T01:26:19.000Z
C1586,1285.9499999999998,1,2024-05-27T13:37:32.000Z
C0243,2695.2,3,2024-11-24T07:14:07.000Z
C4598,520.04,2,2024-10-28T13:47:15.000Z
C4364,6041.08,6,2024-11-29T16:33:25.000Z
C2006,582.54,1,2024-09-30T04:06:18.000Z
C4050,605.61,2,2024-10-08T22:45:29.000Z
C1852,7572.87,6,2024-06-27T06:45:03.000Z
C1358,971.54,1,2024-05-10T21:58:01.000Z
C2218,574.11,2,2024-03-24T06:40:52.000Z
C3457,1931.5,2,2024-12-20T23:18:17.000Z
C0749,2032.3500000000001,3,2024-08-31T05:09:05.000Z
